Plot,Season,GEP (gCO2.m².hour-1),ER (gCO2.m².hour-1),NEE (gCO2.m².hour-1),B,G,R,RE,NIR,DOY,PAR,TEMP,BCC,BRI,BWDRVI,CIgreen,CVI,EVI,EVI2,GARI,GCC,GLI,GNDVI,LCI,NDRE,NDVI,OSAVI,RCC,RVI,SIPI,TVI
P1,May,-1.86,1.3,-0.56,0.04,0.09,0.1,0.3,0.43,137,0.33,7.36,0.17391304347826086,18.08785529715762,0.036144578313253045,3.7777777777777777,5.3086419753086425,0.47687861271676296,0.49401197604790414,0.7000000000000001,0.3913043478260869,0.12499999999999996,0.6538461538461537,0.24528301886792453,0.17808219178082194,0.6226415094339621,0.4782608695652173,0.43478260869565216,4.3,1.181818181818182,1.0595477853471085
P3,May,-1.47,1.28,-0.19,0.04,0.09,0.07,0.25,0.4,137,0.33,7.36,0.19999999999999998,17.777777777777775,8.673617379884034e-17,3.4444444444444446,3.456790123456791,0.5427631578947368,0.5261479591836735,0.823529411764706,0.44999999999999996,0.24137931034482754,0.6326530612244899,0.3191489361702128,0.23076923076923078,0.7021276595744681,0.5238095238095238,0.35000000000000003,5.714285714285714,1.090909090909091,1.0964158242083466
P4,May,-1.25,0.89,-0.36,0.04,0.1,0.08,0.28,0.42,137,0.33,7.36,0.18181818181818182,15.306122448979593,0.024390243902439046,3.1999999999999993,3.359999999999999,0.53125,0.5272952853598014,0.7777777777777777,0.4545454545454546,0.25000000000000006,0.6153846153846153,0.2799999999999999,0.19999999999999996,0.6799999999999999,0.515151515151515,0.36363636363636365,5.25,1.1176470588235294,1.0862780491200215
P5,May,-1.84,1.19,-0.65,0.04,0.07,0.05,0.18,0.34,137,0.33,7.36,0.25,25.676937441643318,-0.08108108108108104,3.8571428571428568,3.469387755102041,0.541044776119403,0.49657534246575347,0.9285714285714285,0.43750000000000006,0.2173913043478261,0.6585365853658537,0.4102564102564103,0.30769230769230776,0.7435897435897436,0.5272727272727273,0.3125,6.8,1.0344827586206897,1.1151635501529555
P6,May,-1.27,0.96,-0.31,0.05,0.1,0.09,0.24,0.37,137,0.33,7.36,0.20833333333333334,15.765765765765765,-0.1494252873563219,2.6999999999999997,3.329999999999999,0.4560260586319218,0.44136191677175296,0.7419354838709676,0.4166666666666667,0.17647058823529413,0.574468085106383,0.28260869565217395,0.21311475409836067,0.6086956521739132,0.4516129032258065,0.375,4.111111111111112,1.1428571428571428,1.0529461772445508
P7,May,-1.2,0.86,-0.34,0.03,0.06,0.04,0.18,0.32,137,0.33,7.36,0.23076923076923075,34.72222222222223,0.03225806451612906,4.333333333333334,3.5555555555555562,0.5243445692883896,0.4943502824858758,0.9259259259259258,0.4615384615384615,0.26315789473684204,0.6842105263157895,0.38888888888888895,0.28,0.7777777777777779,0.5384615384615385,0.3076923076923077,8.0,1.0357142857142858,1.1303883305208782
P8,May,-0.93,0.97,0.04,0.04,0.06,0.07,0.18,0.26,137,0.33,7.36,0.23529411764705882,42.73504273504274,-0.2121212121212121,3.333333333333334,5.055555555555556,0.3442028985507246,0.3326330532212885,0.7391304347826088,0.3529411764705882,0.04347826086956516,0.625,0.24242424242424246,0.18181818181818185,0.5757575757575757,0.3877551020408163,0.411764705882353,3.714285714285714,1.1578947368421053,1.0371873387954442
P9,May,-1.12,0.94,-0.18,0.03,0.09,0.07,0.25,0.36,137,0.33,7.36,0.15789473684210525,19.753086419753085,0.09090909090909088,3.0,3.1111111111111116,0.4662379421221864,0.4744764397905759,0.7419354838709676,0.47368421052631576,0.28571428571428564,0.6000000000000001,0.25581395348837205,0.180327868852459,0.6744186046511628,0.4915254237288135,0.368421052631579,5.142857142857142,1.1379310344827585,1.0837059585750937
P1,June,-1.46,0.8,-0.66,0.02,0.06,0.05,0.22,0.35,166,0.45,18.08,0.15384615384615385,34.63203463203463,0.2727272727272727,4.833333333333333,4.861111111111111,0.49999999999999994,0.5102040816326531,0.8125,0.4615384615384615,0.2631578947368421,0.7073170731707317,0.32499999999999996,0.22807017543859648,0.75,0.5357142857142857,0.38461538461538464,6.999999999999999,1.0999999999999999,1.118033988749895
P3,June,-1.23,0.76,-0.47,0.02,0.06,0.04,0.19,0.34,166,0.45,18.08,0.16666666666666666,33.539731682146545,0.25925925925925924,4.666666666666667,3.7777777777777786,0.5244755244755245,0.5222841225626742,0.8666666666666666,0.49999999999999994,0.33333333333333326,0.7000000000000001,0.3947368421052632,0.28301886792452835,0.7894736842105264,0.5555555555555556,0.3333333333333333,8.5,1.0666666666666664,1.135549947915338
