DOY;Year_TEMP;Month_TEMP;Day_TEMP;Year_PAR;Month_PAR;Day_PAR;TEMP_K;PAR_Wm2;DOY_rescaled;TEMP_K_rescaled;PAR_Wm2_rescaled
1;2023;1;1;2023;1;1;280.6810163;15.20566;-1;0.070260733;-0.996673633
2;2023;1;2;2023;1;2;278.2131971;14.774329;-0.994505495;-0.082449607;-0.998558295
3;2023;1;3;2023;1;3;276.5233739;49.361904;-0.989010989;-0.187017018;-0.847430974
4;2023;1;4;2023;1;4;276.9208934;185.98926;-0.983516484;-0.162418244;-0.250449937
5;2023;1;5;2023;1;5;276.9881337;185.25589;-0.978021978;-0.158257362;-0.253654332
6;2023;1;6;2023;1;6;275.5208689;171.07906;-0.972527473;-0.249052712;-0.315598725
7;2023;1;7;2023;1;7;276.8623702;187.891;-0.967032967;-0.166039698;-0.242140454
8;2023;1;8;2023;1;8;276.8163904;181.05223;-0.961538462;-0.168884961;-0.272021849
9;2023;1;9;2023;1;9;273.1293322;26.900354;-0.956043956;-0.397042638;-0.945574712
10;2023;1;10;2023;1;10;274.9552841;83.83124;-0.950549451;-0.284051487;-0.696820287
11;2023;1;11;2023;1;11;274.0625114;19.425316;-0.945054945;-0.33929687;-0.978236223
12;2023;1;12;2023;1;12;274.9716911;31.506859;-0.93956044;-0.28303621;-0.925446999
13;2023;1;13;2023;1;13;275.6743832;52.092915;-0.934065934;-0.239553147;-0.835498065
14;2023;1;14;2023;1;14;275.6931254;102.63133;-0.928571429;-0.238393364;-0.614674972
15;2023;1;15;2023;1;15;272.3699195;26.025824;-0.923076923;-0.444035619;-0.949395892
16;2023;1;16;2023;1;16;271.8111655;16.554989;-0.917582418;-0.478611697;-0.990777861
17;2023;1;17;2023;1;17;271.5484371;106.22508;-0.912087912;-0.494869508;-0.598972402
18;2023;1;18;2023;1;18;267.4557788;92.45217;-0.906593407;-0.748126005;-0.659151903
19;2023;1;19;2023;1;19;268.9465415;16.930042;-0.901098901;-0.655876589;-0.9891391
20;2023;1;20;2023;1;20;267.279014;111.4741;-0.895604396;-0.759064332;-0.576037278
21;2023;1;21;2023;1;21;263.3854618;21.402023;-0.89010989;-1;-0.969599178
22;2023;1;22;2023;1;22;265.1106841;30.227911;-0.884615385;-0.893242067;-0.931035248
23;2023;1;23;2023;1;23;265.5336997;28.925486;-0.879120879;-0.867065573;-0.936726078
24;2023;1;24;2023;1;24;268.6472708;18.938929;-0.873626374;-0.674395661;-0.980361447
25;2023;1;25;2023;1;25;269.5788479;39.971386;-0.868131868;-0.616749036;-0.888462004
26;2023;1;26;2023;1;26;268.0214119;57.313923;-0.862637363;-0.71312424;-0.812685337
27;2023;1;27;2023;1;27;267.5052579;20.390608;-0.857142857;-0.7450642;-0.974018466
28;2023;1;28;2023;1;28;268.073499;43.447926;-0.851648352;-0.709901051;-0.873271573
29;2023;1;29;2023;1;29;268.7968089;36.27139;-0.846153846;-0.665142144;-0.904628806
30;2023;1;30;2023;1;30;271.0617695;87.082016;-0.840659341;-0.524984834;-0.682616311
31;2023;1;31;2023;1;31;272.9876893;95.6221;-0.835164835;-0.405807597;-0.645301177
32;2023;2;1;2023;2;1;273.4691614;121.10491;-0.82967033;-0.37601378;-0.533956313
33;2023;2;2;2023;2;2;273.5829569;115.654785;-0.824175824;-0.36897203;-0.557770148
34;2023;2;3;2023;2;3;274.8643557;174.63428;-0.818681319;-0.289678198;-0.300064509
35;2023;2;4;2023;2;4;275.9285933;113.45654;-0.813186813;-0.223822449;-0.567375183
36;2023;2;5;2023;2;5;274.1731981;134.3227;-0.807692308;-0.332447507;-0.476202359
37;2023;2;6;2023;2;6;271.6530399;159.84822;-0.802197802;-0.488396614;-0.364670878
38;2023;2;7;2023;2;7;271.6323859;72.84928;-0.796703297;-0.489674701;-0.744804981
39;2023;2;8;2023;2;8;271.8464953;197.75069;-0.791208791;-0.476425463;-0.199059419
40;2023;2;9;2023;2;9;271.5969226;181.3821;-0.785714286;-0.491869196;-0.270580512
41;2023;2;10;2023;2;10;272.8298734;227.55673;-0.78021978;-0.415573355;-0.068824588
42;2023;2;11;2023;2;11;272.2286638;165.54602;-0.774725275;-0.452776618;-0.33977485
43;2023;2;12;2023;2;12;273.2398554;214.92616;-0.769230769;-0.390203386;-0.124012736
44;2023;2;13;2023;2;13;274.2387562;198.02725;-0.763736264;-0.328390726;-0.197851015
45;2023;2;14;2023;2;14;274.7293326;214.60344;-0.758241758;-0.298033521;-0.125422832
46;2023;2;15;2023;2;15;275.6932144;211.5879;-0.752747253;-0.238387856;-0.138598965
47;2023;2;16;2023;2;16;277.0105076;216.59146;-0.747252747;-0.156872854;-0.116736356
48;2023;2;17;2023;2;17;277.2021529;257.57562;-0.741758242;-0.145013712;0.062340273
49;2023;2;18;2023;2;18;277.1398716;240.66606;-0.736263736;-0.148867721;-0.01154454
50;2023;2;19;2023;2;19;278.5076656;273.07336;-0.730769231;-0.064227691;0.130056264
51;2023;2;20;2023;2;20;277.6622531;264.7769;-0.725274725;-0.116542399;0.093805623
52;2023;2;21;2023;2;21;278.09519;165.03696;-0.71978022;-0.089751962;-0.341999142
53;2023;2;22;2023;2;22;276.3586973;147.44147;-0.714285714;-0.197207323;-0.418881065
54;2023;2;23;2023;2;23;275.4626376;119.78615;-0.708791209;-0.252656108;-0.539718517
55;2023;2;24;2023;2;24;272.5228017;248.86139;-0.703296703;-0.434575161;0.024264223
56;2023;2;25;2023;2;25;271.5267557;133.53947;-0.697802198;-0.496211172;-0.479624613
57;2023;2;26;2023;2;26;269.1801465;47.2357;-0.692307692;-0.641420948;-0.856721232
