Plot,Season,GEP (gCO2.m².hour-1),ER (gCO2.m².hour-1),NEE (gCO2.m².hour-1),B,G,R,RE,NIR,DOY,PAR,TEMP,BCC,BRI,BWDRVI,CIgreen,CVI,EVI,EVI2,GARI,GCC,GLI,GNDVI,LCI,NDRE,NDVI,OSAVI,RCC,RVI,SIPI,TVI
P1,May,-1.86,1.3,-0.56,0.5,0.5999999999999999,0.9999999999999998,0.9285714285714286,0.7619047619047619,-1.0,-1.0,-0.9999999999999999,-0.6739130434782608,-0.9893185305221782,0.043855421686747026,-0.2567049808429114,-0.22847743281764044,0.20646040624685869,0.3537182919315549,-1.0,-0.3360938578329886,-0.26587301587301615,-0.02228116710875483,-0.9751192204022394,-1.0,-0.5967161169523276,0.24528301886792425,0.8067632850241546,-0.8396946564885496,0.8909090909090942,-0.5769828193831543
P3,May,-1.47,1.28,-0.19,0.5,0.5999999999999999,0.33333333333333326,0.5714285714285714,0.6190476190476193,-1.0,-1.0,-0.9999999999999999,-0.3999999999999999,-0.9898828762045959,-0.08799999999999976,-0.48659003831417547,-0.8155586507116361,0.42895043132959065,0.46859355165187866,-0.1764705882352935,0.19682539682539613,0.26984126984126955,-0.28332160450386823,-0.33224222585924723,-0.37595517065715756,-0.03849277245411731,0.4627133872416893,-0.0222222222222217,-0.5158124318429662,-0.0545454545454529,-0.00891399726918607
P4,May,-1.25,0.89,-0.36,0.5,0.8,0.5555555555555554,0.7857142857142858,0.7142857142857144,-1.0,-1.0,-0.9999999999999999,-0.5909090909090908,-0.9943813255472684,0.000975609756097548,-0.6551724137931036,-0.8462434290335628,0.3900708612898809,0.47269485429165736,-0.48148148148148273,0.23809523809523814,0.30952380952380976,-0.49602122015915207,-0.6729670329670339,-0.7403973509933781,-0.19389312977099316,0.4213836477987414,0.11111111111111116,-0.6221374045801527,0.22352941176470686,-0.1651185074943271
P5,May,-1.84,1.19,-0.65,0.5,0.20000000000000018,-0.11111111111111116,0.0714285714285714,0.3333333333333335,-1.0,-1.0,-0.9999999999999999,0.125,-0.9755062885050239,-0.3837837837837837,-0.20197044334975356,-0.8115649009300445,0.4231475104281417,0.3628814590195111,0.5238095238095228,0.08333333333333348,0.1594202898550725,0.0354920100925149,0.46069315300084535,0.5351502801833932,0.2526913290272077,0.4792452830188685,-0.38888888888888884,-0.2671755725190841,-0.641379310344826,0.2799540554838593
P6,May,-1.27,0.96,-0.31,1.0,0.8,0.7777777777777775,0.5,0.4761904761904763,-1.0,-1.0,-0.9999999999999999,-0.3125,-0.9935447678961392,-0.6331034482758623,-0.9999999999999998,-0.8557541447634456,0.13604199068608192,0.16551215527515706,-0.7204301075268829,-0.10582010582010604,-0.028944911297852483,-0.9999999999999991,-0.6502627806975632,-0.5850613397025297,-0.6946564885496178,0.11807668898356694,0.22222222222222232,-0.8829516539440202,0.48571428571428577,-0.6787014855968003
P7,May,-1.2,0.86,-0.34,0.0,0.0,-0.33333333333333337,0.0714285714285714,0.23809523809523814,-1.0,-1.0,-0.9999999999999999,-0.0769230769230771,-0.9590437361008153,0.029677419354838724,0.12643678160919647,-0.7842476524239563,0.3667514402013232,0.3549276229099432,0.5061728395061724,0.3015873015873005,0.3700918964076856,0.3517241379310345,0.2747252747252751,0.2071523178807948,0.49279050042409,0.5326560232220614,-0.4358974358974357,0.007633587786259444,-0.6285714285714281,0.5145399818766663
P8,May,-0.93,0.97,0.04,0.5,0.0,0.33333333333333326,0.0714285714285714,-0.04761904761904745,-1.0,-1.0,-0.9999999999999999,-0.02941176470588225,-0.9444602839710325,-0.8618181818181817,-0.5632183908045967,-0.3087118659298198,-0.24158128384801159,-0.2231567205667897,-0.7391304347826084,-0.6844070961718023,-0.6411318150448588,-0.3775862068965514,-1.0,-0.9557495484647798,-0.9259773305574841,-0.1867539468617636,0.5816993464052294,-0.9738276990185387,0.6421052631578945,-0.9215162669677763
P9,May,-1.12,0.94,-0.18,0.0,0.5999999999999999,0.33333333333333326,0.5714285714285714,0.4285714285714286,-1.0,-1.0,-0.9999999999999999,-0.8421052631578947,-0.9862877851906762,0.24363636363636343,-0.7931034482758617,-0.9251471447185154,0.1705271982222869,0.28388536378197227,-0.7204301075268829,0.4118629908103584,0.4739229024943308,-0.6855172413793094,-0.8834653718374654,-0.9734013679296498,-0.2330907154269486,0.3086024944035817,0.15789473684210575,-0.6466739367502727,0.4344827586206872,-0.2047497027343823
P1,June,-1.46,0.8,-0.66,-0.5,0.0,-0.11111111111111116,0.3571428571428572,0.38095238095238093,-0.5886524822695036,-0.2727272727272725,0.1166666666666667,-0.8846153846153844,-0.9592078788520596,0.9069090909090907,0.4712643678160924,-0.37035539380868965,0.28454059975352575,0.41159958738184277,-0.25,0.3015873015873005,0.3700918964076858,0.6363330529857016,-0.2813186813186821,-0.40792378296735254,0.2977099236641223,0.519541778975741,0.31623931623931645,-0.22137404580152698,0.03999999999999915,0.32418224670528417
P3,June,-1.23,0.76,-0.47,-0.5,0.0,-0.33333333333333337,0.1428571428571428,0.3333333333333335,-0.5886524822695036,-0.2727272727272725,0.1166666666666667,-0.75,-0.9611958864151177,0.8577777777777775,0.35632183908046056,-0.7137979062766768,0.36719367172605577,0.45478164387613207,0.11111111111111072,0.6507936507936494,0.6931216931216928,0.546206896551725,0.32562174667437827,0.2429089091590657,0.5749296906388119,0.6142557651991614,-0.18518518518518512,0.12213740458015265,-0.3066666666666684,0.5940710338132682
